,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Squad,League
190,Romain Esse,eng ENG,MF,19.0,1.5,1,1,1,100.0,0.65,0.65,1.0,1.0,2.8,0,0,0,0.3,0.3,0.32,0.7,0.7,Matches,Crystal-Palace,Premier-League
191,Odsonne Édouard,fr FRA,"MF,FW",26.0,1.3,0,5,1,20.0,3.91,0.78,0.0,0.0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,Crystal-Palace,Premier-League
192,Joachim Andersen,dk DEN,DF,28.0,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Crystal-Palace,Premier-League
193,Chadi Riad,ma MAR,DF,21.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Crystal-Palace,Premier-League
194,Joel Ward,eng ENG,DF,34.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Crystal-Palace,Premier-League
195,Jeffrey Schlupp,gh GHA,"MF,DF",31.0,1.1,0,4,2,50.0,3.5,1.75,0.0,0.0,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Crystal-Palace,Premier-League
196,Matheus França,br BRA,"MF,FW",20.0,0.6,1,6,3,50.0,9.82,4.91,0.17,0.33,15.8,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches,Crystal-Palace,Premier-League
197,Jordan Ayew,gh GHA,"FW,MF",32.0,0.2,0,1,0,0.0,4.29,0.0,0.0,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches,Crystal-Palace,Premier-League
198,Caleb Kporha,eng ENG,DF,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Crystal-Palace,Premier-League
199,Asher Agbinone,eng ENG,MF,18.0,0.1,0,1,0,0.0,15.0,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Crystal-Palace,Premier-League
200,Jordan Pickford,eng ENG,GK,30.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Everton,Premier-League
201,Vitaliy Mykolenko,ua UKR,DF,25.0,34.2,1,14,1,7.1,0.41,0.03,0.07,1.0,20.6,0,0,0,0.5,0.5,0.04,0.5,0.5,Matches,Everton,Premier-League
202,Idrissa Gana Gueye,sn SEN,MF,34.0,34.0,0,27,5,18.5,0.79,0.15,0.0,0.0,25.2,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches,Everton,Premier-League
203,James Tarkowski,eng ENG,DF,31.0,32.5,1,15,4,26.7,0.46,0.12,0.07,0.25,8.4,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches,Everton,Premier-League
204,Abdoulaye Doucouré,ml MLI,MF,31.0,28.5,3,31,9,29.0,1.09,0.32,0.1,0.33,14.0,0,0,0,4.1,4.1,0.13,-1.1,-1.1,Matches,Everton,Premier-League
205,Iliman Ndiaye,sn SEN,FW,24.0,27.0,9,35,15,42.9,1.3,0.56,0.2,0.47,17.1,0,2,2,6.2,4.7,0.13,2.8,2.3,Matches,Everton,Premier-League
206,Jarrad Branthwaite,eng ENG,DF,22.0,27.9,0,10,3,30.0,0.36,0.11,0.0,0.0,8.2,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Matches,Everton,Premier-League
207,Jack Harrison,eng ENG,FW,27.0,23.1,1,29,7,24.1,1.26,0.3,0.03,0.14,16.2,0,0,0,3.5,3.5,0.12,-2.5,-2.5,Matches,Everton,Premier-League
208,Ashley Young,eng ENG,DF,39.0,20.8,1,6,3,50.0,0.29,0.14,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,0.7,0.7,Matches,Everton,Premier-League
209,Dominic Calvert-Lewin,eng ENG,FW,27.0,17.9,3,50,19,38.0,2.8,1.06,0.06,0.16,12.3,0,0,0,6.7,6.7,0.14,-3.7,-3.7,Matches,Everton,Premier-League
210,James Garner,eng ENG,"MF,DF",23.0,17.7,0,12,4,33.3,0.68,0.23,0.0,0.0,20.4,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,Everton,Premier-League
211,Jake O'Brien,ie IRL,DF,23.0,17.5,2,6,3,50.0,0.34,0.17,0.33,0.67,11.1,0,0,0,0.8,0.8,0.13,1.2,1.2,Matches,Everton,Premier-League
212,Beto,gw GNB,FW,26.0,17.0,8,49,23,46.9,2.87,1.35,0.16,0.35,13.1,0,0,0,8.2,8.2,0.17,-0.2,-0.2,Matches,Everton,Premier-League
213,Dwight McNeil,eng ENG,"MF,FW",24.0,15.2,4,25,10,40.0,1.64,0.66,0.16,0.4,21.9,0,0,0,1.1,1.1,0.04,2.9,2.9,Matches,Everton,Premier-League
214,Jesper Lindstrøm,dk DEN,FW,24.0,13.8,0,28,10,35.7,2.03,0.73,0.0,0.0,21.0,6,0,0,2.1,2.1,0.08,-2.1,-2.1,Matches,Everton,Premier-League
215,Orel Mangala,be BEL,MF,26.0,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,Everton,Premier-League
