,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Squad,League
116,Lewis Dunk,eng ENG,DF,32.0,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2,Matches,Brighton-and-Hove-Albion,Premier-League
117,João Pedro,br BRA,"FW,MF",22.0,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8,Matches,Brighton-and-Hove-Albion,Premier-League
118,Yasin Ayari,se SWE,MF,20.0,21.8,3,0,0,37,26,3,69,20,32,0,1,0,118,16,20,44.4,Matches,Brighton-and-Hove-Albion,Premier-League
119,Jack Hinshelwood,eng ENG,"MF,DF",19.0,20.5,5,0,0,18,9,0,27,16,19,0,0,0,63,20,16,55.6,Matches,Brighton-and-Hove-Albion,Premier-League
120,Yankuba Minteh,gm GAM,"FW,MF",20.0,20.4,6,0,0,21,11,6,91,11,35,0,0,0,85,17,34,33.3,Matches,Brighton-and-Hove-Albion,Premier-League
121,Joël Veltman,nl NED,DF,32.0,18.9,5,0,0,27,44,0,24,19,29,0,1,0,68,21,18,53.8,Matches,Brighton-and-Hove-Albion,Premier-League
122,Georginio Rutter,fr FRA,"MF,FW",22.0,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2,Matches,Brighton-and-Hove-Albion,Premier-League
123,Simon Adingra,ci CIV,"FW,MF",22.0,12.2,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6,Matches,Brighton-and-Hove-Albion,Premier-League
124,Matt O'Riley,dk DEN,MF,23.0,10.4,1,0,0,16,13,2,51,13,9,1,0,1,29,5,8,38.5,Matches,Brighton-and-Hove-Albion,Premier-League
125,Adam Webster,eng ENG,DF,29.0,9.9,1,0,0,7,2,1,2,20,6,0,1,0,35,24,6,80.0,Matches,Brighton-and-Hove-Albion,Premier-League
126,Mats Wieffer,nl NED,"DF,MF",24.0,11.3,6,0,0,23,10,1,13,17,34,1,1,0,68,32,25,56.1,Matches,Brighton-and-Hove-Albion,Premier-League
127,Igor,br BRA,DF,26.0,10.7,4,0,0,9,6,0,4,4,5,0,0,0,42,8,6,57.1,Matches,Brighton-and-Hove-Albion,Premier-League
128,Tariq Lamptey,gh GHA,DF,23.0,9.6,0,0,0,15,10,0,28,7,11,0,1,0,39,1,14,6.7,Matches,Brighton-and-Hove-Albion,Premier-League
129,Brajan Gruda,de GER,"MF,FW",20.0,7.6,0,0,0,7,12,1,29,2,8,0,0,0,26,3,5,37.5,Matches,Brighton-and-Hove-Albion,Premier-League
130,Ferdi Kadioglu,tr TUR,"DF,MF",24.0,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0,Matches,Brighton-and-Hove-Albion,Premier-League
131,Diego Gómez,py PAR,MF,21.0,5.7,0,0,0,8,3,1,12,8,13,1,0,0,32,10,4,71.4,Matches,Brighton-and-Hove-Albion,Premier-League
132,James Milner,eng ENG,MF,38.0,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0,Matches,Brighton-and-Hove-Albion,Premier-League
133,Julio Enciso,py PAR,"MF,FW",20.0,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5,Matches,Brighton-and-Hove-Albion,Premier-League
134,Evan Ferguson,ie IRL,FW,19.0,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8,Matches,Brighton-and-Hove-Albion,Premier-League
135,Jason Steele,eng ENG,GK,33.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0,Matches,Brighton-and-Hove-Albion,Premier-League
136,Solly March,eng ENG,"FW,MF",30.0,1.9,2,0,0,2,2,3,20,2,3,0,0,0,7,1,2,33.3,Matches,Brighton-and-Hove-Albion,Premier-League
137,Billy Gilmour,sct SCO,MF,23.0,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,,Matches,Brighton-and-Hove-Albion,Premier-League
138,Eiran Cashin,ie IRL,DF,22.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7,Matches,Brighton-and-Hove-Albion,Premier-League
139,Jakub Moder,pl POL,MF,25.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0,Matches,Brighton-and-Hove-Albion,Premier-League
140,Jeremy Sarmiento,ec ECU,MF,22.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,Brighton-and-Hove-Albion,Premier-League
141,Harry Howell,eng ENG,FW,15.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,Brighton-and-Hove-Albion,Premier-League
142,Moisés Caicedo,ec ECU,"MF,DF",22.0,37.2,11,0,0,70,58,0,10,49,73,2,1,0,229,35,16,68.6,Matches,Chelsea,Premier-League
143,Cole Palmer,eng ENG,"MF,FW",22.0,35.5,7,0,0,15,60,7,144,11,20,1,0,0,106,2,7,22.2,Matches,Chelsea,Premier-League
144,Levi Colwill,eng ENG,DF,21.0,35.0,9,0,0,45,21,5,13,33,34,0,1,0,121,82,53,60.7,Matches,Chelsea,Premier-League
145,Marc Cucurella,es ESP,DF,26.0,33.2,10,1,1,37,38,3,31,28,45,0,0,0,130,32,57,36.0,Matches,Chelsea,Premier-League
146,Enzo Fernández,ar ARG,MF,23.0,32.7,8,0,0,52,54,2,109,13,33,0,0,0,156,14,29,32.6,Matches,Chelsea,Premier-League
147,Robert Sánchez,es ESP,GK,26.0,32.0,5,0,0,2,4,0,0,2,0,0,2,0,43,12,0,100.0,Matches,Chelsea,Premier-League
148,Nicolas Jackson,sn SEN,FW,23.0,24.7,7,1,0,35,29,23,3,3,13,0,0,0,48,21,36,36.8,Matches,Chelsea,Premier-League
149,Noni Madueke,eng ENG,FW,22.0,22.6,3,0,0,22,25,5,63,10,18,0,0,0,84,11,19,36.7,Matches,Chelsea,Premier-League
150,Pedro Neto,pt POR,FW,24.0,25.2,8,0,0,21,33,3,149,9,9,0,0,0,81,11,30,26.8,Matches,Chelsea,Premier-League
151,Malo Gusto,fr FRA,DF,21.0,20.7,4,0,0,20,20,2,53,24,29,0,0,0,119,9,15,37.5,Matches,Chelsea,Premier-League
152,Jadon Sancho,eng ENG,FW,24.0,19.6,2,0,0,6,11,6,25,2,7,2,0,0,99,6,11,35.3,Matches,Chelsea,Premier-League
