,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
47,Julen Agirrezabala,es ESP,GK,24-137,14,14,1206,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50.0,Matches,Athletic-Club,La-Liga
48,Alex Padilla,es ESP,GK,21-253,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0,Matches,Athletic-Club,La-Liga
49,Jan Oblak,si SVN,GK,32-124,34,34,3060,34.0,27,0.79,104,79,78.8,19,10,5,15,44.1,5,5,0,0,0.0,Matches,Atletico-Madrid,La-Liga
50,Juan Musso,ar ARG,GK,31-005,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,Atletico-Madrid,La-Liga
51,Iñaki Peña,es ESP,GK,26-070,15,14,1306,14.5,18,1.24,52,34,69.2,6,3,5,3,21.4,2,2,0,0,0.0,Matches,Barcelona,La-Liga
52,Wojciech Szczęsny,pl POL,GK,35-023,13,13,1170,13.0,9,0.69,27,18,66.7,12,1,0,7,53.8,0,0,0,0,,Matches,Barcelona,La-Liga
53,Marc-André ter Stegen,de GER,GK,33-011,7,7,584,6.5,6,0.92,19,13,73.7,7,0,0,1,14.3,1,1,0,0,0.0,Matches,Barcelona,La-Liga
54,Adrián,es ESP,GK,38-129,15,15,1350,15.0,19,1.27,52,33,65.4,10,2,3,3,20.0,1,1,0,0,0.0,Matches,Real-Betis,La-Liga
55,Rui Silva,pt POR,GK,31-094,15,15,1350,15.0,18,1.2,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0.0,Matches,Real-Betis,La-Liga
56,Fran Vieites,es ESP,GK,26-005,4,4,360,4.0,5,1.25,11,6,54.5,1,2,1,0,0.0,0,0,0,0,,Matches,Real-Betis,La-Liga
57,Vicente Guaita,es ESP,GK,38-121,31,31,2790,31.0,45,1.45,120,75,65.0,12,7,12,7,22.6,3,3,0,0,0.0,Matches,Celta-Vigo,La-Liga
