,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Squad,League
179,Will Hughes,eng ENG,MF,30-025,22.1,1145,43,271,585,301,15,1145,15,4,26.7,7,46.7,499,2542,1155,19,22,1,20,27,629,26,Matches,Crystal-Palace,Premier-League
180,Chris Richards,us USA,DF,25-045,19.4,1044,118,556,421,73,19,1044,6,1,16.7,5,83.3,491,2221,941,6,5,0,5,5,584,2,Matches,Crystal-Palace,Premier-League
181,Adam Wharton,eng ENG,MF,20-344,14.6,871,30,204,462,212,11,871,10,2,20.0,8,80.0,430,2014,1078,14,23,2,17,13,533,11,Matches,Crystal-Palace,Premier-League
182,Daichi Kamada,jp JPN,MF,28-280,16.2,877,19,190,460,234,31,877,16,6,37.5,8,50.0,444,2154,1045,24,19,5,16,19,560,54,Matches,Crystal-Palace,Premier-League
183,Trevoh Chalobah,eng ENG,DF,25-311,11.8,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6,Matches,Crystal-Palace,Premier-League
184,Eddie Nketiah,eng ENG,"FW,MF",25-347,10.3,379,10,41,161,184,64,379,21,10,47.6,8,38.1,226,1585,821,39,22,14,33,16,275,72,Matches,Crystal-Palace,Premier-League
185,Nathaniel Clyne,eng ENG,"DF,MF",34-037,5.4,273,18,111,125,37,3,273,1,0,0.0,1,100.0,158,651,314,6,2,3,5,2,178,8,Matches,Crystal-Palace,Premier-League
186,Cheick Doucouré,ml MLI,MF,25-124,5.0,263,11,56,165,45,4,263,5,2,40.0,2,40.0,133,581,280,2,7,1,4,7,160,7,Matches,Crystal-Palace,Premier-League
187,Justin Devenny,nir NIR,MF,21-213,4.8,240,7,42,123,80,7,240,4,2,50.0,2,50.0,113,602,277,4,5,1,17,2,147,13,Matches,Crystal-Palace,Premier-League
188,Odsonne Édouard,fr FRA,"MF,FW",27-116,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7,Matches,Crystal-Palace,Premier-League
189,Joachim Andersen,dk DEN,DF,28-346,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches,Crystal-Palace,Premier-League
190,Chadi Riad,ma MAR,DF,21-329,1.0,90,5,41,49,1,0,90,0,0,,0,,58,318,232,2,0,0,1,0,69,0,Matches,Crystal-Palace,Premier-League
191,Ben Chilwell,eng ENG,DF,28-142,1.9,121,7,42,54,30,2,121,5,2,40.0,2,40.0,49,241,181,2,1,0,2,2,54,12,Matches,Crystal-Palace,Premier-League
192,Jeffrey Schlupp,gh GHA,"MF,DF",32-140,1.1,79,2,9,31,41,6,79,1,1,100.0,0,0.0,30,150,67,4,1,1,7,0,41,9,Matches,Crystal-Palace,Premier-League
193,Romain Esse,eng ENG,MF,19-364,0.5,31,0,5,8,18,7,31,2,0,0.0,2,100.0,18,73,21,0,1,0,1,1,21,8,Matches,Crystal-Palace,Premier-League
