,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Squad,League
2019,Robinio Vaz,fr FRA,FW,18-084,0.8,20,1,2,1,17,9,20,1,0,0.0,1,100.0,12,79,34,3,0,2,1,1,14,6,Matches,Marseille,Ligue-1
2020,Bamo Meïté,ci CIV,DF,23-160,0.3,31,1,22,9,0,0,31,1,0,0.0,1,100.0,21,42,20,0,0,0,0,0,24,0,Matches,Marseille,Ligue-1
2021,Enzo Sternal,fr FRA,"FW,MF",17-349,0.3,13,0,1,10,2,0,13,3,1,33.3,2,66.7,10,30,13,0,0,0,2,0,12,0,Matches,Marseille,Ligue-1
2022,Darryl Bakola,fr FRA,"DF,MF",17-163,0.2,15,0,4,6,5,0,15,1,0,0.0,1,100.0,9,49,23,0,1,0,0,1,14,0,Matches,Marseille,Ligue-1
2023,Emmanuel Koum Mbondo,fr FRA,DF,19-096,0.1,9,0,3,5,1,0,9,0,0,,0,,4,12,2,0,0,0,0,1,8,0,Matches,Marseille,Ligue-1
2024,Faris Pemi Moumbagna,cm CMR,FW,24-315,0.1,0,0,0,0,0,0,0,0,0,,0,,1,2,0,0,0,0,0,1,1,0,Matches,Marseille,Ligue-1
2025,Keyliane Abdallah,fr FRA,FW,19-037,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,Matches,Marseille,Ligue-1
2026,Maghnes Akliouche,fr FRA,"FW,MF",23-076,26.6,1562,22,150,640,794,156,1561,103,50,48.5,50,48.5,997,6546,3627,126,98,47,78,47,1145,226,Matches,Monaco,Ligue-1
2027,Thilo Kehrer,de GER,DF,28-233,26.5,2060,187,852,1153,61,17,2060,3,1,33.3,1,33.3,1193,5962,3512,16,8,0,6,2,1419,2,Matches,Monaco,Ligue-1
2028,Takumi Minamino,jp JPN,"MF,FW",30-116,23.9,980,24,92,431,465,133,980,39,11,28.2,24,61.5,550,2994,1456,50,27,27,55,22,680,186,Matches,Monaco,Ligue-1
2029,Denis Zakaria,ch SUI,MF,28-173,23.7,1420,60,278,909,255,40,1418,36,21,58.3,13,36.1,820,3722,1807,27,30,8,35,23,968,36,Matches,Monaco,Ligue-1
2030,Lamine Camara,sn SEN,MF,21-131,21.8,1659,31,246,1024,402,16,1659,25,12,48.0,8,32.0,914,4332,1803,25,28,3,40,20,1102,45,Matches,Monaco,Ligue-1
2031,Vanderson,br BRA,DF,23-325,22.4,1701,70,399,840,474,64,1701,48,24,50.0,20,41.7,870,4160,2197,57,30,13,38,14,969,150,Matches,Monaco,Ligue-1
2032,Wilfried Singo,ci CIV,DF,24-138,22.3,1616,137,615,901,122,28,1616,11,6,54.5,4,36.4,895,5027,2972,34,20,4,11,7,1021,27,Matches,Monaco,Ligue-1
2033,Caio Henrique Oliveira Silva,br BRA,DF,27-285,20.4,1508,49,345,688,502,35,1508,17,13,76.5,4,23.5,758,3849,2239,53,56,5,24,7,879,140,Matches,Monaco,Ligue-1
2034,Breel Embolo,ch SUI,"FW,MF",28-087,20.5,668,13,57,289,329,121,668,42,14,33.3,25,59.5,397,1708,715,22,15,12,64,53,499,140,Matches,Monaco,Ligue-1
2035,Eliesse Ben Seghir,ma MAR,"MF,FW",20-085,18.5,1185,2,87,504,611,61,1183,93,34,36.6,53,57.0,810,5357,2923,83,83,24,57,34,946,166,Matches,Monaco,Ligue-1
2036,Philipp Köhn,ch SUI,GK,27-040,18.0,556,459,552,4,0,0,556,0,0,,0,,337,1778,907,0,0,0,0,0,264,0,Matches,Monaco,Ligue-1
2037,Christian Mawissa,fr FRA,DF,20-024,15.7,1014,81,384,583,62,6,1014,28,10,35.7,16,57.1,638,3351,1514,13,11,1,17,10,681,9,Matches,Monaco,Ligue-1
2038,Mika Biereth,dk DEN,FW,22-093,13.6,382,4,15,125,243,98,380,11,1,9.1,9,81.8,212,817,354,14,8,5,39,16,286,110,Matches,Monaco,Ligue-1
2039,Radosław Majecki,pl POL,GK,25-177,15.0,434,363,425,9,0,0,434,0,0,,0,,233,1219,725,0,0,0,0,0,181,0,Matches,Monaco,Ligue-1
2040,Aleksandr Golovin,ru RUS,"MF,FW",28-347,12.8,840,7,108,444,302,31,840,37,22,59.5,12,32.4,504,2977,1536,39,36,9,27,18,563,72,Matches,Monaco,Ligue-1
2041,Mohammed Salisu,gh GHA,DF,26-025,11.4,905,106,372,510,25,14,905,1,0,0.0,1,100.0,545,2800,1519,8,2,0,6,1,596,3,Matches,Monaco,Ligue-1
2042,Soungoutou Magassa,fr FRA,MF,21-216,10.8,727,29,160,476,100,7,727,20,12,60.0,6,30.0,358,1558,668,6,9,1,12,12,455,10,Matches,Monaco,Ligue-1
2043,Folarin Balogun,us USA,FW,23-313,6.8,220,0,6,91,126,51,220,18,4,22.2,12,66.7,143,889,408,21,12,12,33,13,178,73,Matches,Monaco,Ligue-1
2044,Jordan Teze,nl NED,DF,25-224,5.8,405,13,96,194,120,15,405,10,5,50.0,4,40.0,161,757,435,8,11,2,8,3,221,40,Matches,Monaco,Ligue-1
2045,George Ilenikhena,fr FRA,"FW,MF",18-269,7.2,168,0,8,59,102,35,168,16,3,18.8,11,68.8,107,447,182,8,4,5,10,14,147,54,Matches,Monaco,Ligue-1
2046,Kassoum Ouattara,fr FRA,"DF,FW",20-210,4.3,274,4,56,131,88,9,274,15,5,33.3,9,60.0,137,734,399,15,3,4,12,7,151,35,Matches,Monaco,Ligue-1
2047,Almoatasem Al Musrati,ly LBY,MF,29-036,4.3,339,6,55,209,76,7,339,4,2,50.0,2,50.0,195,757,401,2,5,0,3,2,237,5,Matches,Monaco,Ligue-1
2048,Krépin Diatta,sn SEN,DF,26-076,4.9,335,13,69,166,105,8,335,12,8,66.7,4,33.3,184,1117,614,17,11,1,8,2,199,36,Matches,Monaco,Ligue-1
2049,Ismail Jakobs,sn SEN,DF,25-268,2.0,121,6,25,50,46,1,121,0,0,,0,,67,503,228,9,7,1,0,0,77,17,Matches,Monaco,Ligue-1
2050,Saïmon Bouabré,fr FRA,"MF,FW",18-345,0.8,26,2,4,15,7,1,26,2,0,0.0,1,50.0,22,136,62,3,2,1,2,1,23,3,Matches,Monaco,Ligue-1
2051,Eliot Matazo,be BEL,MF,23-086,0.8,54,2,8,39,7,0,54,3,0,0.0,3,100.0,23,94,31,0,0,0,3,0,31,3,Matches,Monaco,Ligue-1
2052,Lucas Michal,fr FRA,"FW,MF",19-325,1.1,57,2,7,22,30,6,57,4,1,25.0,2,50.0,35,221,114,3,5,1,1,1,39,11,Matches,Monaco,Ligue-1
2053,Mamadou Coulibaly,fr FRA,MF,21-021,0.1,9,0,1,5,3,0,9,2,1,50.0,0,0.0,4,24,10,0,0,0,1,0,6,1,Matches,Monaco,Ligue-1
2054,Benjamin Lecomte,fr FRA,GK,34-016,29.0,1090,856,1074,17,0,0,1090,0,0,,0,,595,3708,2382,0,0,0,1,0,534,0,Matches,Montpellier,Ligue-1
2055,Téji Savanier,fr FRA,MF,33-141,24.8,1721,23,184,983,566,34,1719,67,27,40.3,35,52.2,892,4325,1913,25,36,4,46,30,1106,106,Matches,Montpellier,Ligue-1
2056,Modibo Sagnan,ml MLI,DF,26-028,22.3,1177,176,593,543,50,17,1177,20,13,65.0,6,30.0,622,3424,1829,13,10,0,8,9,722,3,Matches,Montpellier,Ligue-1
2057,Joris Chotard,fr FRA,MF,23-230,19.0,952,78,290,523,145,9,952,15,8,53.3,7,46.7,445,2113,836,16,10,0,12,11,527,33,Matches,Montpellier,Ligue-1
2058,Enzo Tchato,cm CMR,DF,22-170,20.8,1185,77,340,565,294,14,1185,13,6,46.2,6,46.2,524,3040,1726,44,33,3,16,4,659,93,Matches,Montpellier,Ligue-1
2059,Becir Omeragic,ch SUI,"DF,MF",23-112,19.0,1004,148,465,504,44,7,1004,14,11,78.6,3,21.4,559,3457,1855,19,6,1,6,4,661,3,Matches,Montpellier,Ligue-1
2060,Jordan Ferri,fr FRA,MF,33-061,18.7,1335,35,303,801,246,13,1335,26,8,30.8,15,57.7,743,3499,1514,17,14,2,14,26,987,36,Matches,Montpellier,Ligue-1
2061,Rabby Nzingoula,cg CGO,MF,19-168,18.3,850,38,238,429,206,23,850,52,25,48.1,22,42.3,454,2589,1138,25,30,6,33,23,503,38,Matches,Montpellier,Ligue-1
2062,Tanguy Coulibaly,fr FRA,"FW,MF",24-083,14.5,548,6,88,219,253,60,548,52,28,53.8,19,36.5,308,2413,1180,47,25,19,50,29,348,91,Matches,Montpellier,Ligue-1
2063,Issiaga Sylla,gn GUI,DF,31-131,12.3,683,50,191,338,161,14,683,15,9,60.0,6,40.0,335,1985,1097,33,23,1,16,8,394,46,Matches,Montpellier,Ligue-1
2064,Arnaud Nordin,fr FRA,FW,26-329,13.0,499,6,63,190,259,49,497,51,23,45.1,23,45.1,323,2372,1247,51,21,22,37,14,359,111,Matches,Montpellier,Ligue-1
2065,Falaye Sacko,ml MLI,DF,30-011,12.7,734,40,213,368,163,8,734,9,2,22.2,7,77.8,371,1852,956,21,12,4,9,1,421,34,Matches,Montpellier,Ligue-1
2066,Akor Adams,ng NGA,FW,25-103,11.9,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45,Matches,Montpellier,Ligue-1
2067,Musa Al-Taamari,jo JOR,"FW,MF",27-336,12.4,470,1,34,191,259,55,470,71,23,32.4,40,56.3,316,2627,1260,55,29,25,48,20,342,76,Matches,Montpellier,Ligue-1
2068,Wahbi Khazri,tn TUN,"FW,MF",34-093,11.9,486,14,63,213,219,34,486,26,7,26.9,16,61.5,259,1515,710,24,13,10,21,25,306,53,Matches,Montpellier,Ligue-1
2069,Khalil Fayad,fr FRA,"MF,FW",20-337,11.4,663,19,129,367,175,17,663,38,17,44.7,20,52.6,340,2150,923,25,15,7,18,13,426,42,Matches,Montpellier,Ligue-1
2070,Théo Sainte-Luce,fr FRA,DF,26-204,10.8,490,45,161,193,139,18,490,20,12,60.0,8,40.0,199,1055,551,19,8,5,20,8,237,33,Matches,Montpellier,Ligue-1
2071,Yael Mouanga,fr FRA,DF,19-293,10.0,551,87,295,237,21,4,551,5,5,100.0,0,0.0,314,1736,866,4,5,2,7,3,358,2,Matches,Montpellier,Ligue-1
2072,Boubakar Kouyaté,ml MLI,DF,28-027,7.4,375,53,183,178,16,9,375,0,0,,0,,174,963,416,3,1,0,3,0,212,0,Matches,Montpellier,Ligue-1
2073,Lucas Mincarelli,fr FRA,DF,21-127,6.9,376,27,154,154,70,5,376,3,0,0.0,3,100.0,203,1075,552,12,7,1,5,1,232,14,Matches,Montpellier,Ligue-1
2074,Nikola Maksimović,rs SRB,DF,33-168,6.5,378,57,244,125,10,4,378,2,2,100.0,0,0.0,214,916,474,1,0,0,6,1,252,0,Matches,Montpellier,Ligue-1
2075,Andy Delort,dz ALG,FW,33-215,5.7,171,4,12,69,91,24,171,5,3,60.0,2,40.0,90,342,172,4,2,2,16,8,130,20,Matches,Montpellier,Ligue-1
2076,Bamo Meïté,ci CIV,DF,23-160,4.7,210,25,112,85,13,2,210,2,1,50.0,1,50.0,99,405,208,1,2,0,3,3,142,1,Matches,Montpellier,Ligue-1
2077,Nicolas Pays,fr FRA,"FW,MF",21-278,5.0,247,3,21,87,148,17,247,26,10,38.5,15,57.7,170,1399,618,21,20,5,8,13,188,53,Matches,Montpellier,Ligue-1
2078,Junior Ndiaye,fr FRA,FW,20-044,3.9,91,1,7,50,34,13,91,2,0,0.0,1,50.0,44,247,111,4,3,4,11,2,62,15,Matches,Montpellier,Ligue-1
2079,Wilfried Ndollo,cm CMR,DF,19-303,3.7,200,8,71,72,59,2,200,5,1,20.0,2,40.0,89,402,185,4,2,1,10,5,109,15,Matches,Montpellier,Ligue-1
2080,Dimitry Bertaud,cd COD,GK,26-340,3.0,99,83,99,0,0,0,99,0,0,,0,,47,265,138,0,0,0,0,0,38,0,Matches,Montpellier,Ligue-1
2081,Birama Touré,ml MLI,"MF,DF",32-340,3.3,157,21,71,65,22,3,157,0,0,,0,,86,287,71,0,1,1,6,0,99,2,Matches,Montpellier,Ligue-1
2082,Stefan Džodić,rs SRB,"DF,MF",20-058,2.2,156,18,77,74,5,2,156,0,0,,0,,94,521,310,2,1,0,0,0,109,0,Matches,Montpellier,Ligue-1
2083,Othmane Maamma,ma MAR,"FW,MF",19-218,3.0,149,3,17,57,78,13,149,30,7,23.3,23,76.7,95,784,273,8,11,3,17,10,110,24,Matches,Montpellier,Ligue-1
2084,Théo Chennahi,fr FRA,DF,20-095,1.0,51,3,24,20,8,0,51,2,0,0.0,2,100.0,18,102,51,0,0,0,1,0,23,1,Matches,Montpellier,Ligue-1
2085,Yanis Issoufou,fr FRA,"MF,FW",18-196,0.9,28,2,6,11,11,3,28,2,1,50.0,1,50.0,16,106,67,3,1,0,1,0,14,2,Matches,Montpellier,Ligue-1
2086,Gabriel Bares,ch SUI,"MF,DF",24-256,0.6,49,3,10,32,8,2,49,2,1,50.0,1,50.0,27,136,31,1,0,0,0,1,33,0,Matches,Montpellier,Ligue-1
2087,Axel Gueguin,fr FRA,FW,20-049,0.3,9,0,2,3,4,1,9,1,0,0.0,1,100.0,2,4,1,0,0,0,1,0,4,1,Matches,Montpellier,Ligue-1
2088,Simon Cara,fr FRA,"MF,FW",19-346,0.1,7,0,0,2,5,1,7,1,0,0.0,1,100.0,5,17,5,0,0,0,0,0,5,1,Matches,Montpellier,Ligue-1
2089,Matthis Abline,fr FRA,FW,22-045,29.8,847,32,73,367,423,136,846,83,33,39.8,47,56.6,566,3517,1678,70,40,39,90,61,663,161,Matches,Nantes,Ligue-1
2090,Moses Simon,ng NGA,"FW,MF",29-304,28.0,1100,10,108,364,654,124,1097,143,63,44.1,75,52.4,709,6056,3183,142,78,57,64,52,752,219,Matches,Nantes,Ligue-1
2091,Jean-Charles Castelletto,cm CMR,"DF,MF",30-106,28.1,1622,176,729,801,96,18,1622,3,3,100.0,0,0.0,909,3902,1977,21,14,2,16,4,1067,19,Matches,Nantes,Ligue-1
2092,Pedro Chirivella,es ESP,MF,27-354,25.1,1670,47,354,1099,233,3,1670,7,3,42.9,4,57.1,919,3981,1878,15,13,1,14,7,1197,25,Matches,Nantes,Ligue-1
2093,Douglas,br BRA,MF,28-119,24.6,1408,67,352,835,228,42,1408,20,12,60.0,7,35.0,686,3075,1460,13,10,1,17,14,891,33,Matches,Nantes,Ligue-1
2094,Nicolas Cozza,fr FRA,"DF,MF",26-124,22.8,1044,75,373,424,257,30,1044,20,5,25.0,14,70.0,400,1920,921,25,10,1,30,6,463,56,Matches,Nantes,Ligue-1
2095,Johann Lepenant,fr FRA,MF,22-202,22.6,987,32,169,532,292,36,987,36,18,50.0,16,44.4,502,2255,991,25,25,3,46,21,593,62,Matches,Nantes,Ligue-1
2096,Kelvin Amian,fr FRA,DF,27-093,23.1,1091,77,353,485,263,20,1091,21,13,61.9,8,38.1,506,2287,1134,31,26,1,20,12,588,77,Matches,Nantes,Ligue-1
2097,Nicolas Pallois,fr FRA,DF,37-235,21.6,1139,189,624,478,44,2,1139,6,2,33.3,4,66.7,533,2459,1133,6,3,1,7,3,588,5,Matches,Nantes,Ligue-1
2098,Nathan Zeze,fr FRA,DF,19-328,16.6,1079,155,570,497,18,5,1079,4,3,75.0,1,25.0,597,2805,1475,2,2,0,9,1,675,0,Matches,Nantes,Ligue-1
2099,Anthony Lopes,pt POR,GK,34-223,16.4,574,471,568,6,0,0,574,0,0,,0,,305,1677,1103,0,0,0,1,0,262,0,Matches,Nantes,Ligue-1
2100,Sorba Thomas,wls WAL,"FW,MF",25-263,13.9,630,23,103,254,288,20,630,22,8,36.4,13,59.1,356,2064,1021,40,27,7,26,23,404,89,Matches,Nantes,Ligue-1
2101,Alban Lafont,fr FRA,GK,26-109,12.0,408,334,401,7,0,0,408,0,0,,0,,228,1065,545,0,0,0,0,0,212,0,Matches,Nantes,Ligue-1
2102,Mostafa Mohamed,eg EGY,FW,27-165,13.9,452,34,69,177,217,76,452,26,12,46.2,14,53.8,239,1011,438,11,15,2,47,22,285,50,Matches,Nantes,Ligue-1
2103,Marcus Coco,fr FRA,DF,28-322,10.6,608,47,198,295,119,4,608,10,3,30.0,7,70.0,297,1329,583,12,9,1,11,6,345,40,Matches,Nantes,Ligue-1
2104,Saidou Sow,gn GUI,DF,22-312,8.9,511,111,306,196,10,6,511,6,4,66.7,2,33.3,288,1336,703,2,1,0,2,2,314,0,Matches,Nantes,Ligue-1
2105,Louis Leroux,fr FRA,"MF,DF",19-109,8.1,350,15,86,195,80,11,350,16,5,31.3,10,62.5,188,952,423,9,12,3,12,5,190,9,Matches,Nantes,Ligue-1
2106,Jean-Kevin Duverne,ht HAI,DF,27-304,6.0,378,28,132,185,61,3,378,5,2,40.0,1,20.0,161,670,327,6,8,1,6,3,198,8,Matches,Nantes,Ligue-1
2107,Tino Kadewere,zw ZIM,"MF,FW",29-127,5.7,242,6,44,117,86,20,242,15,4,26.7,11,73.3,133,623,270,5,5,1,14,7,156,27,Matches,Nantes,Ligue-1
2108,Patrik Carlgren,se SWE,GK,33-124,4.6,144,124,144,0,0,0,144,0,0,,0,,75,502,319,0,0,0,0,0,50,0,Matches,Nantes,Ligue-1
2109,Fabien Centonze,fr FRA,DF,29-116,2.7,180,13,48,61,72,4,180,7,2,28.6,4,57.1,89,515,275,10,5,0,3,2,102,30,Matches,Nantes,Ligue-1
2110,Florent Mollet,fr FRA,"MF,FW",33-174,2.7,125,5,19,64,42,5,125,3,2,66.7,1,33.3,85,406,164,3,3,0,2,1,84,12,Matches,Nantes,Ligue-1
2111,Bahereba Guirassy,fr FRA,"FW,MF",18-256,3.8,192,5,31,77,88,17,192,26,9,34.6,16,61.5,111,741,374,15,13,5,9,13,115,34,Matches,Nantes,Ligue-1
2112,Jean-Philippe Gbamin,ci CIV,MF,29-229,2.4,143,4,26,97,21,4,143,2,1,50.0,1,50.0,83,287,124,2,2,0,5,1,90,1,Matches,Nantes,Ligue-1
2113,Francis Coquelin,fr FRA,MF,33-364,1.7,87,5,19,47,21,3,87,1,1,100.0,0,0.0,47,162,79,2,2,0,3,1,50,1,Matches,Nantes,Ligue-1
2114,Ignatius Ganago,cm CMR,"FW,MF",26-085,2.7,112,3,16,48,49,15,112,11,5,45.5,5,45.5,73,413,153,5,5,4,8,3,84,26,Matches,Nantes,Ligue-1
2115,Meschak Elia,cd COD,FW,27-279,1.9,99,1,18,36,47,8,99,11,2,18.2,9,81.8,61,409,180,9,3,2,7,2,61,22,Matches,Nantes,Ligue-1
2116,Dehmaine Assoumani,fr FRA,"MF,FW",20-025,1.1,75,2,12,39,25,7,75,6,3,50.0,3,50.0,47,307,152,4,2,2,7,3,48,14,Matches,Nantes,Ligue-1
2117,Plamedi Nsingi,,MF,24-146,0.2,8,0,4,3,1,1,8,0,0,,0,,4,10,1,0,0,0,0,0,5,0,Matches,Nantes,Ligue-1
2118,Sékou Doucoure,fr FRA,DF,20-016,0.1,8,3,4,4,0,0,8,0,0,,0,,5,13,4,0,0,0,0,0,5,0,Matches,Nantes,Ligue-1
2119,Marcin Bułka,pl POL,GK,25-220,33.0,1167,934,1158,9,1,1,1167,1,0,0.0,1,100.0,686,3289,2148,0,0,0,2,0,593,0,Matches,Nice,Ligue-1
2120,Evann Guessand,ci CIV,"FW,MF",23-315,27.6,898,19,96,405,424,127,898,96,44,45.8,46,47.9,563,3786,2179,86,44,29,73,67,668,158,Matches,Nice,Ligue-1
2121,Hicham Boudaoui,dz ALG,MF,25-231,26.1,1417,71,298,780,367,45,1417,63,23,36.5,34,54.0,738,4405,2249,54,44,7,36,25,913,75,Matches,Nice,Ligue-1
2122,Jonathan Clauss,fr FRA,"DF,MF",32-229,24.7,1628,76,374,618,651,66,1628,25,10,40.0,14,56.0,725,3362,1952,52,25,9,36,8,878,158,Matches,Nice,Ligue-1
2123,Moïse Bombito,ca CAN,DF,25-043,23.4,1618,207,738,831,61,9,1618,16,12,75.0,3,18.8,865,4449,2488,26,10,1,14,3,1066,9,Matches,Nice,Ligue-1
2124,Youssouf Ndayishimiye,bi BDI,DF,26-197,21.5,1581,179,648,866,83,10,1581,8,6,75.0,2,25.0,906,4350,2619,17,12,0,14,7,1040,9,Matches,Nice,Ligue-1
2125,Melvin Bard,fr FRA,"DF,MF",24-187,20.5,1382,87,453,661,288,35,1382,48,22,45.8,25,52.1,739,4263,2446,50,34,9,28,12,822,93,Matches,Nice,Ligue-1
2126,Pablo Rosario,nl NED,"MF,DF",28-125,19.7,950,78,247,559,154,19,949,17,9,52.9,8,47.1,473,2261,1247,17,19,2,20,15,653,25,Matches,Nice,Ligue-1
2127,Mohamed Ali Cho,fr FRA,"FW,MF",21-113,18.0,720,9,75,308,356,74,720,70,20,28.6,41,58.6,460,3302,1943,81,39,30,68,26,545,133,Matches,Nice,Ligue-1
2128,Dante,br BRA,DF,41-206,20.8,1580,162,761,752,74,17,1580,15,6,40.0,7,46.7,896,4155,2348,17,9,1,15,5,1089,7,Matches,Nice,Ligue-1
2129,Gaëtan Laborde,fr FRA,FW,31-009,19.5,706,26,72,321,323,123,702,36,18,50.0,17,47.2,348,1517,823,30,16,13,46,17,478,127,Matches,Nice,Ligue-1
2130,Ali Abdi,tn TUN,"DF,MF",31-143,15.4,875,51,226,344,312,48,875,28,12,42.9,15,53.6,386,1838,972,34,15,8,32,14,475,99,Matches,Nice,Ligue-1
2131,Tanguy Ndombele,fr FRA,MF,28-135,12.6,611,17,100,398,120,25,611,47,25,53.2,19,40.4,366,1783,923,22,8,6,28,21,436,36,Matches,Nice,Ligue-1
2132,Jeremie Boga,ci CIV,"MF,FW",28-129,11.7,529,5,65,204,268,57,529,64,25,39.1,32,50.0,338,3010,1837,64,37,24,18,17,408,75,Matches,Nice,Ligue-1
2133,Badredine Bouanani,dz ALG,"MF,FW",20-155,11.5,545,4,50,220,284,38,545,33,13,39.4,17,51.5,341,2299,1295,43,33,12,23,17,405,86,Matches,Nice,Ligue-1
2134,Baptiste Santamaria,fr FRA,MF,30-064,9.5,569,25,134,351,92,14,569,12,8,66.7,4,33.3,270,1164,627,9,9,0,14,7,386,10,Matches,Nice,Ligue-1
2135,Mohamed Abdelmoneim,eg EGY,DF,26-100,9.5,635,70,260,331,46,3,635,4,1,25.0,2,50.0,342,1427,822,6,4,0,4,3,386,5,Matches,Nice,Ligue-1
2136,Sofiane Diop,fr FRA,"MF,FW",24-337,11.6,695,17,97,335,272,35,695,30,10,33.3,19,63.3,382,1971,907,26,19,4,20,18,490,68,Matches,Nice,Ligue-1
2137,Tom Louchet,fr FRA,"DF,MF",22-008,8.4,564,23,163,235,171,23,564,12,4,33.3,7,58.3,232,1125,625,19,9,3,12,7,305,37,Matches,Nice,Ligue-1
2138,Antoine Mendy,sn SEN,DF,20-350,8.2,543,41,200,300,50,9,543,12,5,41.7,5,41.7,280,1371,769,10,9,0,10,3,330,13,Matches,Nice,Ligue-1
2139,Morgan Sanson,fr FRA,MF,30-267,2.5,133,2,19,67,49,9,133,5,2,40.0,3,60.0,76,400,150,5,5,1,8,1,93,16,Matches,Nice,Ligue-1
2140,Youssoufa Moukoko,de GER,"FW,MF",20-173,2.3,75,0,9,30,37,14,75,7,2,28.6,5,71.4,43,202,80,2,1,1,3,4,46,12,Matches,Nice,Ligue-1
2141,Yael Nandjou,fr FRA,DF,19-310,1.7,89,10,32,35,23,6,89,1,1,100.0,0,0.0,27,82,52,2,0,1,1,0,40,9,Matches,Nice,Ligue-1
2142,Bilal Brahimi,dz ALG,MF,25-059,0.8,49,2,7,23,19,0,49,2,0,0.0,2,100.0,29,202,112,3,3,0,0,3,35,10,Matches,Nice,Ligue-1
2143,Amidou Doumbouya,fr FRA,DF,17-280,0.5,31,2,13,13,5,0,31,1,1,100.0,0,0.0,17,87,36,1,0,0,0,1,19,0,Matches,Nice,Ligue-1
2144,Terem Moffi,ng NGA,FW,25-352,0.5,12,0,0,3,9,2,12,0,0,,0,,6,30,0,0,0,0,0,1,12,3,Matches,Nice,Ligue-1
2145,Victor Orakpo,ng NGA,FW,18-332,0.4,21,0,2,10,9,3,21,2,2,100.0,0,0.0,14,83,57,2,1,1,1,0,18,4,Matches,Nice,Ligue-1
2146,Jordan Lotomba,ch SUI,"MF,DF",26-225,0.4,24,2,3,15,6,0,24,3,1,33.3,2,66.7,19,144,110,4,0,0,0,1,17,2,Matches,Nice,Ligue-1
2147,Issiaga Camara,gn GUI,MF,20-099,0.2,23,0,4,19,2,0,23,1,0,0.0,1,100.0,11,63,28,1,0,0,1,0,13,1,Matches,Nice,Ligue-1
2148,Rareş Ilie,ro ROU,MF,22-023,0.1,13,0,2,1,10,3,13,4,3,75.0,1,25.0,6,64,48,2,1,1,0,0,8,1,Matches,Nice,Ligue-1
2149,Bernard Nguene,cm CMR,FW,18-281,0.1,5,0,0,3,2,0,5,1,0,0.0,1,100.0,4,11,5,0,0,0,1,0,5,1,Matches,Nice,Ligue-1
2150,Bradley Barcola,fr FRA,FW,22-252,23.6,1249,12,82,386,794,211,1249,133,33,24.8,91,68.4,837,5760,3460,134,63,93,63,20,996,362,Matches,Paris-Saint-Germain,Ligue-1
2151,Warren Zaïre-Emery,fr FRA,"MF,DF",19-065,22.4,1889,49,313,1039,549,31,1889,37,20,54.1,17,45.9,1201,6315,3190,49,63,6,39,31,1490,91,Matches,Paris-Saint-Germain,Ligue-1
2152,Gianluigi Donnarumma,it ITA,GK,26-076,22.2,653,542,641,12,0,0,653,0,0,,0,,340,1603,1017,0,0,0,0,0,353,0,Matches,Paris-Saint-Germain,Ligue-1
2153,Achraf Hakimi,ma MAR,DF,26-189,22.0,2298,40,425,942,944,79,2298,50,25,50.0,20,40.0,1345,5890,3445,93,56,21,36,15,1764,265,Matches,Paris-Saint-Germain,Ligue-1
2154,Willian Pacho,ec ECU,DF,23-208,22.7,2136,238,897,1207,41,8,2136,6,1,16.7,4,66.7,1335,5620,2414,3,3,0,15,4,1631,1,Matches,Paris-Saint-Germain,Ligue-1
2155,Lucas Beraldo,br BRA,DF,21-169,22.2,2302,220,865,1365,78,15,2302,1,1,100.0,0,0.0,1388,5482,3287,9,15,0,10,2,1837,0,Matches,Paris-Saint-Germain,Ligue-1
2156,João Neves,pt POR,"MF,DF",20-227,19.8,1805,45,321,1026,474,55,1805,30,16,53.3,11,36.7,995,4827,2210,34,44,3,25,16,1366,79,Matches,Paris-Saint-Germain,Ligue-1
2157,Fabián Ruiz Peña,es ESP,MF,29-039,20.7,1759,47,253,1025,493,60,1759,20,14,70.0,6,30.0,1013,5118,2671,46,39,8,23,16,1390,88,Matches,Paris-Saint-Germain,Ligue-1
2158,Vitinha,pt POR,MF,25-088,21.7,2460,57,344,1531,599,32,2458,38,25,65.8,10,26.3,1671,8320,3878,52,54,9,30,19,2062,55,Matches,Paris-Saint-Germain,Ligue-1
2159,Lee Kang-in,kr KOR,"FW,MF",24-082,18.5,1432,13,107,616,720,68,1432,51,29,56.9,19,37.3,938,4933,2194,50,45,18,22,26,1172,138,Matches,Paris-Saint-Germain,Ligue-1
2160,Ousmane Dembélé,fr FRA,FW,27-362,18.4,1290,2,47,466,787,156,1289,93,41,44.1,50,53.8,854,5929,3399,126,85,65,39,28,1096,241,Matches,Paris-Saint-Germain,Ligue-1
2161,Désiré Doué,fr FRA,"FW,MF",19-343,18.9,1435,4,137,633,688,120,1435,128,57,44.5,60,46.9,881,5658,3045,97,50,47,52,37,1141,231,Matches,Paris-Saint-Germain,Ligue-1
