,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Squad,League
149,Noni Madueke,eng ENG,FW,23-076,21.6,78,3.6,56,0,10,7,4,1,8,0.37,5,0,0,1,1,1,Matches,Chelsea,Premier-League
150,Pedro Neto,pt POR,FW,25-077,24.4,89,3.65,64,9,6,6,4,0,8,0.33,5,1,2,0,0,0,Matches,Chelsea,Premier-League
151,Malo Gusto,fr FRA,DF,22-006,20.5,58,2.82,57,0,0,1,0,0,4,0.19,4,0,0,0,0,0,Matches,Chelsea,Premier-League
152,Jadon Sancho,eng ENG,FW,25-061,18.9,68,3.59,61,0,3,1,3,0,10,0.53,9,0,0,0,1,0,Matches,Chelsea,Premier-League
153,Tosin Adarabioyo,eng ENG,DF,27-243,14.7,14,0.96,7,0,0,6,0,1,1,0.07,0,0,0,1,0,0,Matches,Chelsea,Premier-League
154,Wesley Fofana,fr FRA,DF,24-159,13.0,15,1.15,12,1,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Chelsea,Premier-League
155,Reece James,eng ENG,"DF,MF",25-168,10.8,18,1.66,11,5,1,1,0,0,3,0.28,1,0,1,1,0,0,Matches,Chelsea,Premier-League
156,Trevoh Chalobah,eng ENG,DF,25-324,10.1,13,1.29,10,0,0,2,0,1,3,0.3,1,0,0,1,0,1,Matches,Chelsea,Premier-League
157,Roméo Lavia,be BEL,MF,21-139,8.5,14,1.64,13,0,0,0,0,1,2,0.23,2,0,0,0,0,0,Matches,Chelsea,Premier-League
158,Christopher Nkunku,fr FRA,FW,27-192,10.2,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0,Matches,Chelsea,Premier-League
159,Filip Jørgensen,dk DEN,GK,23-039,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Chelsea,Premier-League
160,Axel Disasi,fr FRA,DF,27-075,4.0,2,0.49,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Chelsea,Premier-League
161,João Félix,pt POR,"FW,MF",25-196,4.1,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0,Matches,Chelsea,Premier-League
162,Benoît Badiashile,fr FRA,DF,24-060,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Chelsea,Premier-League
163,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",26-261,2.9,5,1.73,5,0,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches,Chelsea,Premier-League
