,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
2,Arnau Rafús,es ESP,GK,22-008,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,Valladolid,La-Liga
0,Diego Conde,es ESP,GK,26-189,21,21,1872,20.8,31,1.49,88,58,68.2,10,6,5,2,9.5,4,3,0,1,0.0,Matches,Villarreal,La-Liga
1,Luiz Lúcio Reis Júnior,br BRA,GK,24-111,14,13,1188,13.2,16,1.21,51,35,76.5,6,4,3,3,23.1,4,4,0,0,0.0,Matches,Villarreal,La-Liga
0,Marco Carnesecchi,it ITA,GK,24-308,31,31,2790,31.0,30,0.97,109,81,74.3,17,7,7,12,38.7,2,2,0,0,0.0,Matches,Atalanta,Serie-A
1,Rui Patrício,pt POR,GK,37-079,2,2,180,2.0,1,0.5,9,8,88.9,1,1,0,1,50.0,0,0,0,0,,Matches,Atalanta,Serie-A
2,Juan Musso,ar ARG,GK,30-364,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,Atalanta,Serie-A
0,Łukasz Skorupski,pl POL,GK,33-364,24,24,2094,23.3,26,1.12,70,45,64.3,11,11,2,8,33.3,2,1,1,0,50.0,Matches,Bologna,Serie-A
1,Federico Ravaglia,it ITA,GK,25-174,11,10,966,10.7,11,1.02,21,10,52.4,5,2,3,4,40.0,1,1,0,0,0.0,Matches,Bologna,Serie-A
0,Elia Caprile,it ITA,GK,23-253,16,16,1440,16.0,19,1.19,60,41,70.0,4,4,8,4,25.0,1,1,0,0,0.0,Matches,Cagliari,Serie-A
1,Simone Scuffet,it ITA,GK,28-339,13,13,1170,13.0,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,0.0,Matches,Cagliari,Serie-A
2,Alen Sherri,al ALB,GK,27-141,6,6,540,6.0,9,1.5,25,16,64.0,1,2,3,1,16.7,0,0,0,0,,Matches,Cagliari,Serie-A
0,Jean Butez,fr FRA,GK,29-331,17,17,1530,17.0,18,1.06,62,44,74.2,8,3,6,5,29.4,2,2,0,0,0.0,Matches,Como,Serie-A
1,Pepe Reina,es ESP,GK,42-247,10,10,900,10.0,12,1.2,35,23,68.6,2,4,4,2,20.0,1,1,0,0,0.0,Matches,Como,Serie-A
2,Emil Audero,id IDN,GK,28-107,8,8,720,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,0.0,Matches,Como,Serie-A
0,Devis Vásquez,co COL,GK,26-358,28,28,2520,28.0,40,1.43,115,74,66.1,4,12,12,6,21.4,3,1,1,1,50.0,Matches,Empoli,Serie-A
1,Marco Silvestri,it ITA,GK,34-064,5,5,450,5.0,11,2.2,27,17,59.3,0,1,4,0,0.0,0,0,0,0,,Matches,Empoli,Serie-A
2,Jacopo Seghetti,it ITA,GK,20-077,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,Empoli,Serie-A
0,David de Gea,es ESP,GK,34-179,31,31,2790,31.0,31,1.0,121,89,75.2,17,5,9,11,35.5,3,1,2,0,66.7,Matches,Fiorentina,Serie-A
1,Pietro Terracciano,it ITA,GK,35-058,3,3,270,3.0,3,1.0,13,10,76.9,0,3,0,1,33.3,0,0,0,0,,Matches,Fiorentina,Serie-A
0,Nicola Leali,it ITA,GK,32-077,27,27,2430,27.0,26,0.96,100,75,77.0,8,10,9,10,37.0,4,3,1,0,25.0,Matches,Genoa,Serie-A
1,Pierluigi Gollini,it ITA,GK,30-048,7,7,630,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25.0,Matches,Genoa,Serie-A
0,Lorenzo Montipò,it ITA,GK,29-073,34,34,3060,34.0,62,1.82,153,91,60.8,9,5,20,8,23.5,4,2,1,1,33.3,Matches,Hellas-Verona,Serie-A
1,Simone Perilli,it ITA,GK,30-117,1,1,90,1.0,1,1.0,6,5,83.3,0,0,1,0,0.0,0,0,0,0,,Matches,Hellas-Verona,Serie-A
0,Yann Sommer,ch SUI,GK,36-139,31,31,2790,31.0,30,0.97,108,78,74.1,19,7,5,12,38.7,3,2,1,0,33.3,Matches,Internazionale,Serie-A
1,Josep Martinez,es ESP,GK,26-343,4,4,360,4.0,3,0.75,11,8,72.7,3,1,0,2,50.0,0,0,0,0,,Matches,Internazionale,Serie-A
0,Michele Di Gregorio,it ITA,GK,27-282,29,29,2610,29.0,28,0.97,88,60,73.9,14,11,4,13,44.8,5,5,0,0,0.0,Matches,Juventus,Serie-A
1,Mattia Perin,it ITA,GK,32-176,5,5,450,5.0,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0,,Matches,Juventus,Serie-A
0,Ivan Provedel,it ITA,GK,31-049,29,29,2610,29.0,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0.0,Matches,Lazio,Serie-A
1,Christos Mandas,gr GRE,GK,23-230,5,5,450,5.0,3,0.6,17,14,82.4,2,3,0,3,60.0,0,0,0,0,,Matches,Lazio,Serie-A
