,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
46,Unai Simón,es ESP,GK,27-328,17,17,1530,17.0,11,0.65,54,42,79.6,7,8,2,7,41.2,1,0,1,0,100.0,Matches,Athletic-Club,La-Liga
47,Julen Agirrezabala,es ESP,GK,24-130,14,14,1206,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50.0,Matches,Athletic-Club,La-Liga
48,Alex Padilla,es ESP,GK,21-246,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0,Matches,Athletic-Club,La-Liga
49,Jan Oblak,si SVN,GK,32-118,33,33,2970,33.0,27,0.82,103,78,78.6,18,10,5,14,42.4,5,5,0,0,0.0,Matches,Atletico-Madrid,La-Liga
50,Juan Musso,ar ARG,GK,30-364,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,Atletico-Madrid,La-Liga
51,Iñaki Peña,es ESP,GK,26-064,15,14,1306,14.5,18,1.24,52,34,69.2,6,3,5,3,21.4,2,2,0,0,0.0,Matches,Barcelona,La-Liga
52,Wojciech Szczęsny,pl POL,GK,35-017,13,13,1170,13.0,9,0.69,27,18,66.7,12,1,0,7,53.8,0,0,0,0,,Matches,Barcelona,La-Liga
53,Marc-André ter Stegen,de GER,GK,33-005,7,7,584,6.5,6,0.92,19,13,73.7,7,0,0,1,14.3,1,1,0,0,0.0,Matches,Barcelona,La-Liga
54,Adrián,es ESP,GK,38-122,15,15,1350,15.0,19,1.27,52,33,65.4,10,2,3,3,20.0,1,1,0,0,0.0,Matches,Real-Betis,La-Liga
55,Rui Silva,pt POR,GK,31-087,15,15,1350,15.0,18,1.2,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0.0,Matches,Real-Betis,La-Liga
56,Fran Vieites,es ESP,GK,25-363,4,4,360,4.0,5,1.25,11,6,54.5,1,2,1,0,0.0,0,0,0,0,,Matches,Real-Betis,La-Liga
57,Vicente Guaita,es ESP,GK,38-115,30,30,2700,30.0,43,1.43,110,67,62.7,11,7,12,7,23.3,2,2,0,0,0.0,Matches,Celta-Vigo,La-Liga
58,Iván Villar,es ESP,GK,27-300,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0,Matches,Celta-Vigo,La-Liga
59,Joan García,es ESP,GK,24-001,34,34,3060,34.0,44,1.29,176,130,77.3,10,9,15,7,20.6,6,4,2,0,33.3,Matches,Espanyol,La-Liga
60,David Soria,es ESP,GK,32-031,34,34,3060,34.0,31,0.91,109,77,77.1,10,9,15,9,26.5,7,6,1,0,14.3,Matches,Getafe,La-Liga
61,Paulo Gazzaniga,ar ARG,GK,33-123,33,33,2925,32.5,50,1.54,133,81,63.9,9,8,16,6,18.2,5,2,3,0,60.0,Matches,Girona,La-Liga
62,Pau López,es ESP,GK,30-143,1,0,45,0.5,2,4.0,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches,Girona,La-Liga
63,Jasper Cillessen,nl NED,GK,36-013,27,27,2335,25.9,42,1.62,128,85,70.3,6,8,13,3,11.1,8,4,3,1,42.9,Matches,Las-Palmas,La-Liga
64,Dinko Horkaš,hr CRO,GK,26-056,9,7,725,8.1,14,1.74,39,25,64.1,2,0,5,1,14.3,1,0,1,0,100.0,Matches,Las-Palmas,La-Liga
65,Marko Dmitrović,rs SRB,GK,33-101,28,28,2520,28.0,44,1.57,132,90,72.0,5,11,12,8,28.6,8,7,0,1,0.0,Matches,Leganes,La-Liga
66,Juan Soriano,es ESP,GK,27-255,6,6,540,6.0,7,1.17,25,19,72.0,1,2,3,1,16.7,0,0,0,0,,Matches,Leganes,La-Liga
67,Dominik Greif,sk SVK,GK,28-029,27,27,2430,27.0,30,1.11,91,62,69.2,10,7,10,6,22.2,2,2,0,0,0.0,Matches,Mallorca,La-Liga
68,Leo Román,es ESP,GK,24-303,6,6,540,6.0,8,1.33,37,29,81.1,2,1,3,2,33.3,1,1,0,0,0.0,Matches,Mallorca,La-Liga
69,Sergio Herrera,es ESP,GK,31-334,33,33,2970,33.0,50,1.52,161,112,72.7,10,13,10,6,18.2,6,6,0,0,0.0,Matches,Osasuna,La-Liga
70,Aitor Fernández,es ESP,GK,34-002,1,1,90,1.0,0,0.0,5,5,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,Osasuna,La-Liga
71,Augusto Batalla,ar ARG,GK,29-005,28,28,2520,28.0,36,1.29,120,83,73.3,8,10,10,6,21.4,6,4,2,0,33.3,Matches,Rayo-Vallecano,La-Liga
72,Cárdenas,es ESP,GK,28-038,6,6,540,6.0,6,1.0,20,14,70.0,3,1,2,2,33.3,0,0,0,0,,Matches,Rayo-Vallecano,La-Liga
73,Thibaut Courtois,be BEL,GK,32-359,28,28,2520,28.0,24,0.86,93,70,77.4,19,6,3,11,39.3,3,3,0,0,0.0,Matches,Real-Madrid,La-Liga
74,Andriy Lunin,ua UKR,GK,26-083,5,5,450,5.0,7,1.4,18,11,61.1,4,0,1,2,40.0,0,0,0,0,,Matches,Real-Madrid,La-Liga
